"Name of location","Street Address","City name","State abbreviation","5 digit zipcode","county name","Is the location a housing shelter (Y or blank for no)","Does the location only allow private access  (Y or blank for no)","Is the location a food cupboard (Y or blank for no)","Is the location a medical treatment facility (Y or blank for no)","Open hours","Other restrictions on access or hours","Misc. notes","Mental Health Care Services (Y or N)","Medical Services (Y or N)","Substance Abuse Services (Y or N)","Phone Number","Website"
"CommUnity Care - ARCH Health Clinic","500 East 7th Street","Austin","TX",,"Travis","Y","N","N","Y","7am-noon and 1-5 M-Th and 7-11am F","Dental and vision care hours are limited.  Please walk-in to the ARCH clinic on Monday morning at 8 am to check dental and vision care appointment availability","Medical Assistance Program (MAP) benefits screening and enrollment, Case Management, and Communicable Disease Screening. http://www.communitycaretx.org/arch.html","N","Y","N",,
"Manos De Cristo: Dental Clinic","1201 E. Cesar Chavez","Austin","TX",,"Travis","N","N","Y","Y",,,,"N","Y","N","512-477-2319","http://www.manosdecristo.org/dental.html"
"Salvation Army","501 East 8th St.","Austin","TX",,"Travis","Y","N","Y","Y","8am-5pm M-F",,,"N","Y","N","512-476-1111x5","http://www.uss.salvationarmy.org/uss/www_uss_austinma.nsf"
"Aeschbach and Associates","2824 South Congress Avenue","Austin","TX",78704,"Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Substance abuse treatment, Detoxification, Methadone Maintenance, Methadone Detoxification, Buprenorphine Services; Type of Care: Outpatient; Forms of Payment Accepted: Self payment, Private health insuranceSpecial Programs/Groups: Pregnant/postpartum women, Women; Special Language Services: German, Spanish","Y","N","Y","512-444-5092","www.austinmethadone.com"
"Austin Drug and Alcohol Abuse Program","7801 North Lamar Boulevard Suite D-109","Austin","TX",78752,"Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Type of Care: Outpatient, Partial hospitalization/day treatment; Special Programs/Groups: DUI/DWI offenders; Forms of Payment Accepted: Self payment, Private health insurance; Payment Assistance: Sliding fee scale (fee is based on income and other factors); Special Language Services: Spanish","N","N","Y","(512) 454-8180","www.adaap.com"
"Austin Recovery Inc","8402 Cross Park Drive","Austin","TX","78754","Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Detoxification, Buprenorphine Services; Type of Care: Residential short-term treatment (30 days or less); Forms of Payment Accepted: Self payment; Special Language Services: ASL or other assistance for hearing impaired, Spanish","N","N","Y","(512) 997-0101","www.austinrecovery.org"
"Austin Recovery Inc - Family House","8402 Cross Park Drive","Austin","TX","78754","Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Substance abuse treatment; Type of Care: Residential short-term treatment (30 days or less), Residential long-term treatment (more than 30 days); Special Programs/Groups: Pregnant/postpartum women, Women, Residential beds for clients' children; Forms of Payment Accepted: Self payment, Medicaid, Private health insurance, Access to Recovery; Special Language Services: ASL or other assistance for hearing impaired, Spanish","N","N","Y","(512) 997-0101","www.austinrecovery.org"
"Austin Recovery Inc - Outpatient Program","4201 South Congress Avenue Suite 202","Austin","TX","78745","Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Substance abuse treatment; Type of Care: Outpatient; Special Programs/Groups: Persons with co-occurring mental and substance abuse disorders, Pregnant/postpartum women, Women, Men; Forms of Payment Accepted: Self payment, Medicaid, Private health insurance, Access to Recovery; Special Language Services: ASL or other assistance for hearing impaired","N","N",,"(512) 916-8864","www.austinrecovery.org"
"Austin Recovery Inc - Women's Program","8402 Cross Park Drive","Austin","TX","78754","Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Substance abuse treatment, Buprenorphine Services; Type of Care: Residential short-term treatment (30 days or less), Residential long-term treatment (more than 30 days), Outpatient; Special Programs/Groups: Persons with co-occurring mental and substance abuse disorders, Pregnant/postpartum women, Women; Forms of Payment Accepted: Self payment, Medicaid, Access to Recovery; Special Language Services: ASL or other assistance for hearing impaired, Spanish","N","N","Y","(512) 997-0101","www.austinrecovery.org"
"Austin/Travis County Integral Care - ATCIC Residential Services","403 East 15th Street Building B","Austin","TX","78701","Travis","N","N","N","N",,"Primary Focus: Substance abuse treatment services","Services Provided: Substance abuse treatment; Type of Care: Residential short-term treatment (30 days or less), Residential long-term treatment (more than 30 days); Special Programs/Groups: Persons with co-occurring mental and substance abuse disorders, Criminal justice clients; Forms of Payment Accepted: Medicaid; Payment Assistance: Payment assistance (Check with facility for details)","N","N","Y","(512) 804-3526","http://www.integralcare.org/"
